3029;798;840;nan;
3121;744;735;2700;
3070;742;619;nan;
3096;754;739;nan;
3128;726;674;nan;
2997;595;610;nan;
3066;639;633;nan;
3025;661;667;3450;
2992;574;916;3332;
2877;625;730;nan;
2940;572;747;nan;
2921;590;822;nan;
2902;543;792;nan;
2857;437;1142;nan;
2843;490;888;nan;
2860;413;nan;nan;
2778;479;1053;nan;
2671;333;874;nan;
2701;408;967;4404;
2682;386;881;nan;
2703;367;949;nan;
2645;364;976;4744;
2714;376;1407;nan;
2544;354;1536;nan;
2567;281;1118;nan;
2526;304;1062;nan;
2508;250;1466;nan;
2470;285;1403;nan;
2582;254;1379;nan;
2425;239;1218;nan;
2462;220;1206;nan;
2393;210;1040;nan;
2385;236;1366;nan;
2269;284;1603;3904;
2293;235;1264;3559;
2283;223;1369;nan;
2265;168;1414;nan;
nan;199;2258;nan;
2360;208;1287;nan;
nan;243;1731;nan;
nan;230;1597;nan;
nan;212;1323;nan;
2200;264;1348;nan;
2101;266;1533;nan;
2165;278;1506;nan;
2178;271;2277;nan;
2119;341;nan;nan;
2078;339;nan;nan;
2041;316;1831;nan;
1927;356;1592;nan;
2056;394;1507;nan;
1996;366;1525;nan;
1910;450;nan;nan;
1940;348;2548;nan;
2144;525;1844;nan;
1878;470;1741;nan;
1848;468;1974;nan;
1831;597;1882;nan;
1839;513;1818;nan;
2230;616;1755;nan;
1808;633;1898;nan;
1931;681;1892;nan;
nan;633;1882;nan;
1718;682;nan;4039;
1674;595;2033;4160;
1681;642;nan;nan;
1653;666;2399;4323;
1624;784;2119;nan;
1585;1148;2091;nan;
1572;994;2087;nan;
1538;862;nan;nan;
1545;839;2085;nan;
1460;926;2108;nan;
1374;1086;nan;nan;
1434;908;nan;nan;
1498;966;nan;nan;
1384;1105;nan;nan;
1262;965;2188;nan;
1410;nan;2105;nan;
1360;1524;nan;nan;
1306;1053;2269;5892;
1213;1371;2178;nan;
1234;1151;2336;nan;
1224;1142;nan;nan;
1242;1117;nan;nan;
1159;1579;nan;nan;
1197;1804;nan;nan;
1089;1749;nan;nan;
1123;1790;nan;nan;
1176;1938;nan;nan;
1154;1909;nan;nan;
1300;1895;nan;nan;
1036;1290;nan;nan;
1107;1337;nan;nan;
1542;1757;nan;nan;
1218;1895;nan;nan;
936;2082;nan;nan;
935;2038;nan;nan;
911;nan;nan;nan;
885;1939;2759;nan;
899;2058;nan;nan;
685;nan;nan;nan;
792;1721;nan;nan;
748;2120;nan;nan;
675;1488;nan;nan;
830;1985;nan;nan;
785;2352;nan;nan;
753;2157;nan;nan;
785;nan;nan;nan;
689;nan;nan;nan;
669;2108;3077;nan;
712;2431;2839;nan;
733;2102;2859;nan;
581;nan;nan;nan;
629;2119;nan;nan;
546;nan;nan;nan;
550;nan;nan;nan;
604;2366;nan;nan;
607;2258;nan;nan;
459;2293;3335;nan;
515;nan;3148;nan;
462;2148;nan;nan;
488;nan;nan;nan;
367;3002;nan;nan;
482;nan;3250;nan;
423;nan;nan;nan;
375;nan;3168;nan;
395;nan;nan;nan;
331;2411;nan;nan;
414;2352;nan;nan;
328;2334;nan;nan;
379;nan;3341;nan;
322;nan;nan;nan;
248;2383;nan;nan;
316;2315;nan;nan;
318;nan;nan;nan;
317;nan;nan;nan;
307;nan;3629;nan;
317;2489;nan;nan;
307;nan;3552;nan;
314;nan;nan;nan;
293;2305;3652;nan;
270;2344;nan;nan;
267;2356;nan;nan;
326;nan;nan;nan;
281;2444;nan;nan;
252;2380;nan;nan;
270;2325;nan;nan;
262;nan;nan;nan;
240;2334;
