0;10000;20000;
12941;3380;7868;2016-04-19 17:53:55.886000
12896;3468;7842;2016-04-19 17:53:55.996000
12895;3529;7913;2016-04-19 17:53:56.105000
12899;3399;7882;2016-04-19 17:53:56.214000
12881;3439;7935;2016-04-19 17:53:56.324000
12872;3389;7906;2016-04-19 17:53:56.418000
12875;3577;7892;2016-04-19 17:53:56.511000
12855;3419;7933;2016-04-19 17:53:56.621000
12783;3305;7959;2016-04-19 17:53:56.730000
12822;3369;7999;2016-04-19 17:53:56.839000
12771;3408;8024;2016-04-19 17:53:56.949000
12789;3438;nan;2016-04-19 17:53:57.058000
12720;3321;7969;2016-04-19 17:53:57.152000
12783;3340;8018;2016-04-19 17:53:57.261000
12761;3290;8029;2016-04-19 17:53:57.371000
12732;3310;8060;2016-04-19 17:53:57.480000
12731;3358;8104;2016-04-19 17:53:57.589000
12642;3299;8153;2016-04-19 17:53:57.699000
12669;3229;8266;2016-04-19 17:53:57.793000
12680;3299;8174;2016-04-19 17:53:57.886000
nan;3324;8288;2016-04-19 17:53:57.996000
nan;nan;8217;2016-04-19 17:53:58.105000
12592;3563;8227;2016-04-19 17:53:58.214000
nan;nan;8271;2016-04-19 17:53:58.308000
nan;nan;8152;2016-04-19 17:53:58.402000
12550;nan;8225;2016-04-19 17:53:58.496000
nan;nan;8294;2016-04-19 17:53:58.589000
nan;3670;nan;2016-04-19 17:53:58.699000
12607;nan;8243;2016-04-19 17:53:58.808000
12609;3191;8342;2016-04-19 17:53:58.933000
nan;nan;8257;2016-04-19 17:53:59.043000
nan;nan;8395;2016-04-19 17:53:59.136000
12551;3255;8356;2016-04-19 17:53:59.230000
12538;nan;8289;2016-04-19 17:53:59.339000
nan;nan;8457;2016-04-19 17:53:59.449000
nan;3926;8368;2016-04-19 17:53:59.558000
nan;nan;8379;2016-04-19 17:53:59.668000
nan;3569;8448;2016-04-19 17:53:59.761000
nan;3591;8501;2016-04-19 17:53:59.855000
12436;3387;nan;2016-04-19 17:53:59.949000
12472;3271;8395;2016-04-19 17:54:00.058000
12479;3174;8491;2016-04-19 17:54:00.168000
nan;3175;8438;2016-04-19 17:54:00.277000
nan;3175;8520;2016-04-19 17:54:00.371000
nan;3134;8577;2016-04-19 17:54:00.464000
nan;3096;8488;2016-04-19 17:54:00.558000
nan;3195;8547;2016-04-19 17:54:00.652000
nan;3756;8543;2016-04-19 17:54:00.777000
nan;nan;8564;2016-04-19 17:54:00.886000
nan;3221;8591;2016-04-19 17:54:00.996000
nan;nan;8562;2016-04-19 17:54:01.089000
nan;nan;8589;2016-04-19 17:54:01.183000
nan;nan;8596;2016-04-19 17:54:01.277000
nan;3231;nan;2016-04-19 17:54:01.386000
nan;nan;nan;2016-04-19 17:54:01.496000
nan;2914;8836;2016-04-19 17:54:01.605000
nan;3521;8755;2016-04-19 17:54:01.699000
nan;2900;8690;2016-04-19 17:54:01.793000
nan;3226;8690;2016-04-19 17:54:01.886000
nan;3174;8718;2016-04-19 17:54:01.980000
nan;3008;8790;2016-04-19 17:54:02.090000
12118;3064;8823;2016-04-19 17:54:02.199000
nan;2984;8784;2016-04-19 17:54:02.308000
nan;3049;8814;2016-04-19 17:54:02.418000
nan;3036;8850;2016-04-19 17:54:02.511000
12033;3022;8828;2016-04-19 17:54:02.621000
11975;3028;8760;2016-04-19 17:54:02.715000
12089;nan;8855;2016-04-19 17:54:02.840000
nan;2847;8862;2016-04-19 17:54:02.949000
nan;2839;8848;2016-04-19 17:54:03.058000
nan;3075;8860;2016-04-19 17:54:03.168000
nan;3002;8850;2016-04-19 17:54:03.261000
nan;3266;8846;2016-04-19 17:54:03.355000
nan;3033;8910;2016-04-19 17:54:03.465000
11955;3258;8883;2016-04-19 17:54:03.574000
nan;3213;8914;2016-04-19 17:54:03.683000
11881;2998;8915;2016-04-19 17:54:03.793000
11983;3342;8898;2016-04-19 17:54:03.902000
11888;3719;8923;2016-04-19 17:54:04.011000
11871;3386;8984;2016-04-19 17:54:04.121000
11910;2966;8947;2016-04-19 17:54:04.230000
11865;3122;8974;2016-04-19 17:54:04.340000
11809;3230;8964;2016-04-19 17:54:04.449000
11770;nan;9059;2016-04-19 17:54:04.558000
11713;3214;9045;2016-04-19 17:54:04.652000
11695;3035;9057;2016-04-19 17:54:04.746000
11660;3034;9018;2016-04-19 17:54:04.855000
11682;3002;nan;2016-04-19 17:54:04.965000
11705;2917;9066;2016-04-19 17:54:05.074000
11645;2956;9033;2016-04-19 17:54:05.183000
11718;2947;nan;2016-04-19 17:54:05.277000
11624;2740;9089;2016-04-19 17:54:05.371000
nan;2660;9092;2016-04-19 17:54:05.465000
nan;2983;9143;2016-04-19 17:54:05.590000
11644;3002;9208;2016-04-19 17:54:05.699000
11608;nan;9203;2016-04-19 17:54:05.808000
11555;nan;9196;2016-04-19 17:54:05.918000
11540;2891;9147;2016-04-19 17:54:06.011000
11569;2659;9304;2016-04-19 17:54:06.105000
11519;nan;9258;2016-04-19 17:54:06.215000
11524;2838;9266;2016-04-19 17:54:06.324000
11504;nan;9238;2016-04-19 17:54:06.433000
11524;3097;9317;2016-04-19 17:54:06.543000
11516;2626;9280;2016-04-19 17:54:06.652000
11480;nan;9322;2016-04-19 17:54:06.746000
11440;2722;9326;2016-04-19 17:54:06.855000
11499;2701;9335;2016-04-19 17:54:06.965000
11443;nan;9322;2016-04-19 17:54:07.074000
11393;2722;9354;2016-04-19 17:54:07.183000
11434;nan;9382;2016-04-19 17:54:07.293000
11407;2599;9391;2016-04-19 17:54:07.386000
11361;2639;9359;2016-04-19 17:54:07.480000
11376;nan;9428;2016-04-19 17:54:07.590000
11362;2593;9427;2016-04-19 17:54:07.699000
11328;2673;9424;2016-04-19 17:54:07.808000
11322;2582;9479;2016-04-19 17:54:07.918000
11330;2571;9424;2016-04-19 17:54:08.027000
11220;2644;9467;2016-04-19 17:54:08.121000
11334;2554;9513;2016-04-19 17:54:08.230000
11229;2614;9465;2016-04-19 17:54:08.340000
11297;2581;9515;2016-04-19 17:54:08.449000
11274;2534;9484;2016-04-19 17:54:08.558000
11289;2476;9513;2016-04-19 17:54:08.668000
11207;2513;9598;2016-04-19 17:54:08.761000
11248;2435;9536;2016-04-19 17:54:08.855000
11194;2427;9550;2016-04-19 17:54:08.965000
11165;2395;9533;2016-04-19 17:54:09.074000
11130;2458;9615;2016-04-19 17:54:09.183000
11148;2365;9565;2016-04-19 17:54:09.293000
11138;2357;9632;2016-04-19 17:54:09.386000
11168;nan;9595;2016-04-19 17:54:09.480000
11133;2324;9631;2016-04-19 17:54:09.574000
11106;2480;9633;2016-04-19 17:54:09.699000
11093;2420;9665;2016-04-19 17:54:09.808000
nan;2420;9766;2016-04-19 17:54:09.918000
11088;2498;9706;2016-04-19 17:54:10.027000
11057;2439;9710;2016-04-19 17:54:10.121000
nan;2310;9816;2016-04-19 17:54:10.215000
11084;2339;9744;2016-04-19 17:54:10.324000
nan;2383;9756;2016-04-19 17:54:10.433000
11037;2376;9783;2016-04-19 17:54:10.543000
nan;2461;9785;2016-04-19 17:54:10.652000
nan;2380;9793;2016-04-19 17:54:10.761000
10990;2393;9797;2016-04-19 17:54:10.871000
nan;2422;9767;2016-04-19 17:54:10.980000
nan;2395;9756;2016-04-19 17:54:11.090000
10968;2376;9756;2016-04-19 17:54:11.199000
10965;2288;9861;2016-04-19 17:54:11.324000
10925;2273;9876;2016-04-19 17:54:11.433000
10912;2362;9867;2016-04-19 17:54:11.527000
10928;2284;9878;2016-04-19 17:54:11.621000
10909;2313;9889;2016-04-19 17:54:11.746000
10924;2301;9879;2016-04-19 17:54:11.855000
10911;2266;9886;2016-04-19 17:54:11.965000
10888;2289;9905;2016-04-19 17:54:12.074000
10851;2348;9884;2016-04-19 17:54:12.168000
10863;2348;9898;2016-04-19 17:54:12.261000
nan;2328;9932;2016-04-19 17:54:12.371000
10842;2285;9934;2016-04-19 17:54:12.480000
10850;2329;9902;2016-04-19 17:54:12.590000
10834;2347;9982;2016-04-19 17:54:12.699000
10802;2345;9976;2016-04-19 17:54:12.808000
10814;2319;9987;2016-04-19 17:54:12.902000
nan;2276;9996;2016-04-19 17:54:12.996000
10810;2343;9996;2016-04-19 17:54:13.121000
10790;2330;9972;2016-04-19 17:54:13.230000
10767;2331;9970;2016-04-19 17:54:13.340000
10781;2334;9977;2016-04-19 17:54:13.449000
10741;2246;10050;2016-04-19 17:54:13.558000
10755;2311;10048;2016-04-19 17:54:13.652000
nan;2277;9987;2016-04-19 17:54:13.762000
10762;2306;10058;2016-04-19 17:54:13.871000
10725;2285;10053;2016-04-19 17:54:13.980000
10760;2289;10013;2016-04-19 17:54:14.090000
10703;2316;nan;2016-04-19 17:54:14.199000
10734;2326;nan;2016-04-19 17:54:14.293000
nan;2329;10074;2016-04-19 17:54:14.402000
10705;2348;10060;2016-04-19 17:54:14.512000
10700;2351;10121;2016-04-19 17:54:14.621000
10668;2362;10122;2016-04-19 17:54:14.730000
10702;2365;10119;2016-04-19 17:54:14.840000
10699;2399;10156;2016-04-19 17:54:14.933000
nan;2425;nan;2016-04-19 17:54:15.027000
10704;2448;10175;2016-04-19 17:54:15.137000
10691;2366;10176;2016-04-19 17:54:15.246000
nan;2378;10206;2016-04-19 17:54:15.355000
10727;2450;10181;2016-04-19 17:54:15.465000
10720;2436;10165;2016-04-19 17:54:15.574000
10730;2458;10177;2016-04-19 17:54:15.668000
10720;2416;10159;2016-04-19 17:54:15.777000
10743;2429;10121;2016-04-19 17:54:15.887000
nan;2454;10172;2016-04-19 17:54:15.996000
nan;2453;10167;2016-04-19 17:54:16.090000
nan;2478;10186;2016-04-19 17:54:16.183000
nan;2516;10205;2016-04-19 17:54:16.277000
nan;2520;10231;2016-04-19 17:54:16.371000
nan;2537;10234;2016-04-19 17:54:16.480000
nan;2611;10240;2016-04-19 17:54:16.590000
nan;2668;10259;2016-04-19 17:54:16.699000
10754;2604;10242;2016-04-19 17:54:16.808000
10760;2541;10236;2016-04-19 17:54:16.918000
10746;2607;10398;2016-04-19 17:54:17.012000
10744;2600;nan;2016-04-19 17:54:17.105000
10809;2676;10251;2016-04-19 17:54:17.230000
nan;2749;10296;2016-04-19 17:54:17.340000
nan;2782;10284;2016-04-19 17:54:17.449000
10688;2781;10256;2016-04-19 17:54:17.558000
10749;2802;10243;2016-04-19 17:54:17.668000
10743;2790;10229;2016-04-19 17:54:17.762000
nan;2800;10321;2016-04-19 17:54:17.871000
10754;2823;10228;2016-04-19 17:54:17.980000
10755;2864;10279;2016-04-19 17:54:18.090000
10712;2933;10242;2016-04-19 17:54:18.199000
10693;2942;10293;2016-04-19 17:54:18.308000
10726;2953;10397;2016-04-19 17:54:18.402000
10731;2901;10313;2016-04-19 17:54:18.512000
10752;2851;10342;2016-04-19 17:54:18.621000
10758;2816;10306;2016-04-19 17:54:18.730000
10685;2847;10346;2016-04-19 17:54:18.840000
10691;2914;10296;2016-04-19 17:54:18.949000
10704;2891;10378;2016-04-19 17:54:19.043000
10746;2915;10357;2016-04-19 17:54:19.137000
10726;2896;10355;2016-04-19 17:54:19.246000
10708;2956;10370;2016-04-19 17:54:19.355000
10735;2974;10365;2016-04-19 17:54:19.465000
10737;3001;10343;2016-04-19 17:54:19.574000
10682;3001;10424;2016-04-19 17:54:19.683000
10730;2970;10333;2016-04-19 17:54:19.777000
10744;3000;10479;2016-04-19 17:54:19.887000
10757;2990;nan;2016-04-19 17:54:19.996000
10739;3008;10353;2016-04-19 17:54:20.105000
