nan;nan;2625;5344;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:03.134000
nan;nan;2621;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:03.294000
nan;10958;2616;5339;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:03.453000
nan;10967;2617;5335;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:03.613000
nan;nan;2617;5312;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:03.773000
nan;nan;2617;5296;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:03.933000
nan;nan;2615;5292;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:04.109000
nan;nan;2613;5290;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:04.333000
nan;nan;2618;5287;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:04.557000
nan;10984;2617;5299;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:04.716000
nan;nan;2618;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:04.877000
nan;10983;2619;5309;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:05.037000
nan;10980;2617;5307;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:05.212000
nan;10983;2614;5305;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:05.436000
nan;10984;2613;5296;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:05.676000
nan;nan;2627;5271;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:05.884000
nan;nan;2634;5242;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:06.060000
nan;nan;2645;5215;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:06.285000
nan;nan;2649;5194;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:06.509000
nan;nan;2649;5173;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:06.685000
nan;nan;2645;5170;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:06.908000
nan;nan;2646;5176;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:07.132000
nan;nan;2643;5190;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:07.308000
nan;nan;2639;5227;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:07.532000
nan;nan;2641;5279;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:07.756000
nan;nan;nan;5320;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:07.932000
nan;nan;2633;5355;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:08.156000
nan;nan;2628;5378;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:08.380000
nan;nan;2620;5380;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:08.555000
nan;nan;2624;5361;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:08.779000
nan;nan;2627;5364;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:09.003000
nan;nan;2627;5480;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:09.179000
nan;nan;2617;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:09.403000
nan;10964;2608;5618;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:09.643000
nan;10949;2596;5613;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:09.867000
nan;nan;2576;5685;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:10.091000
nan;nan;2559;5685;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:10.266000
nan;nan;2543;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:10.490000
nan;nan;2529;5603;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:10.666000
nan;nan;2511;5483;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:10.890000
nan;nan;2494;5578;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:11.066000
nan;nan;2471;5558;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:11.290000
nan;nan;2454;5542;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:11.466000
nan;nan;2433;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:11.690000
nan;nan;2414;5517;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:11.866000
nan;nan;2399;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:12.089000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:12.329000
nan;nan;2368;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:12.553000
nan;nan;2352;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:12.777000
nan;nan;2328;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:12.953000
nan;nan;2309;5547;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:13.176000
nan;nan;2294;5522;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:13.353000
nan;nan;2301;5553;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:13.592000
nan;nan;2300;5650;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:13.816000
nan;nan;2308;5717;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:14.040000
nan;nan;2312;5794;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:14.216000
nan;nan;2311;5838;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:14.440000
nan;10833;2307;5882;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:14.616000
nan;nan;2315;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:14.840000
nan;nan;2336;5899;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:15.016000
nan;nan;2382;5925;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:15.239000
nan;nan;2410;5922;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:15.415000
nan;nan;2447;5917;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:15.639000
nan;nan;2461;5928;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:15.815000
nan;nan;nan;5962;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:16.039000
nan;nan;nan;5985;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:16.215000
nan;nan;2478;6007;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:16.438000
nan;10657;2473;6051;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:16.615000
nan;nan;2472;6077;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:16.839000
nan;nan;2491;6100;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:17.014000
nan;nan;2507;6144;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:17.238000
nan;nan;2525;6184;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:17.414000
nan;nan;2542;6200;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:17.654000
nan;nan;2579;6215;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:17.878000
nan;10436;2571;6248;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:18.054000
nan;10215;2623;6280;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:18.278000
nan;10001;2624;6313;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:18.454000
nan;nan;2610;6373;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:18.677000
nan;nan;2595;6417;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:18.853000
nan;nan;2595;6455;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:19.077000
nan;nan;2532;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:19.253000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:19.477000
nan;nan;2517;6585;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:19.653000
nan;nan;2508;6619;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:19.893000
nan;nan;2489;6646;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:20.117000
nan;nan;2467;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:20.293000
nan;nan;2466;6710;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:20.516000
nan;nan;2437;6755;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:20.692000
nan;nan;2440;6684;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:20.916000
nan;nan;2458;6725;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:21.092000
nan;nan;2442;6818;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:21.332000
nan;nan;2430;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:21.572000
nan;nan;2434;7019;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:21.796000
nan;nan;2413;7092;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:22.036000
nan;nan;2384;7172;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:22.259000
nan;nan;2400;7177;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:22.435000
nan;nan;2406;7159;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:22.675000
nan;nan;2404;7006;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:22.899000
nan;nan;2393;6983;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:23.075000
nan;nan;2392;6966;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:23.315000
nan;nan;2396;6992;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:23.539000
