0;5000;10000;15000;
13693;nan;4292;2873;2016-04-19 17:42:27.798000
13691;nan;4220;2875;2016-04-19 17:42:27.923000
13721;nan;4211;2883;2016-04-19 17:42:28.048000
13688;nan;4228;2888;2016-04-19 17:42:28.173000
13629;nan;4233;2893;2016-04-19 17:42:28.298000
13648;nan;4194;2900;2016-04-19 17:42:28.407000
13599;nan;4118;2940;2016-04-19 17:42:28.532000
13603;nan;4146;2901;2016-04-19 17:42:28.657000
13545;nan;4140;2907;2016-04-19 17:42:28.782000
13570;nan;4127;2939;2016-04-19 17:42:28.907000
13584;nan;4132;2955;2016-04-19 17:42:29.017000
13545;nan;4071;2963;2016-04-19 17:42:29.157000
13526;nan;4072;nan;2016-04-19 17:42:29.282000
13493;nan;3994;3003;2016-04-19 17:42:29.407000
13483;nan;4017;2961;2016-04-19 17:42:29.532000
13455;nan;4064;2993;2016-04-19 17:42:29.642000
13462;nan;4011;3006;2016-04-19 17:42:29.751000
13434;nan;4062;3024;2016-04-19 17:42:29.876000
13435;nan;4040;3031;2016-04-19 17:42:30.001000
13406;nan;3940;3066;2016-04-19 17:42:30.126000
13388;nan;3962;3042;2016-04-19 17:42:30.251000
13347;nan;3971;3076;2016-04-19 17:42:30.360000
13317;nan;3938;3068;2016-04-19 17:42:30.470000
13305;nan;3971;3101;2016-04-19 17:42:30.595000
13310;nan;3960;3122;2016-04-19 17:42:30.720000
13324;nan;3913;3193;2016-04-19 17:42:30.845000
13259;nan;3913;3102;2016-04-19 17:42:30.970000
13286;nan;3909;3117;2016-04-19 17:42:31.079000
13246;nan;3876;3103;2016-04-19 17:42:31.189000
13224;nan;3870;nan;2016-04-19 17:42:31.329000
13238;nan;3820;3128;2016-04-19 17:42:31.454000
13218;nan;3785;3297;2016-04-19 17:42:31.579000
13197;nan;3795;3089;2016-04-19 17:42:31.704000
13202;8317;3783;3199;2016-04-19 17:42:31.814000
13154;nan;3837;3216;2016-04-19 17:42:31.939000
13127;nan;3808;3268;2016-04-19 17:42:32.064000
13123;nan;3723;3268;2016-04-19 17:42:32.189000
13101;nan;3717;3176;2016-04-19 17:42:32.314000
13072;nan;3701;3297;2016-04-19 17:42:32.423000
13072;nan;3693;3308;2016-04-19 17:42:32.532000
13074;nan;3698;3263;2016-04-19 17:42:32.657000
13083;nan;3680;3592;2016-04-19 17:42:32.782000
12968;nan;3674;nan;2016-04-19 17:42:32.907000
nan;nan;3674;3179;2016-04-19 17:42:33.032000
13005;nan;3685;nan;2016-04-19 17:42:33.142000
13001;8168;3687;nan;2016-04-19 17:42:33.267000
12973;nan;3671;3353;2016-04-19 17:42:33.392000
12930;nan;3665;3335;2016-04-19 17:42:33.517000
12944;nan;3678;3277;2016-04-19 17:42:33.642000
12958;nan;3633;3295;2016-04-19 17:42:33.767000
12947;nan;3600;3339;2016-04-19 17:42:33.876000
12922;nan;3593;3356;2016-04-19 17:42:34.001000
12894;nan;3584;3406;2016-04-19 17:42:34.126000
12891;nan;3586;3762;2016-04-19 17:42:34.251000
12892;nan;3533;3486;2016-04-19 17:42:34.376000
12870;nan;3560;3485;2016-04-19 17:42:34.485000
12841;nan;3551;nan;2016-04-19 17:42:34.595000
12843;nan;3536;nan;2016-04-19 17:42:34.735000
12839;nan;3547;nan;2016-04-19 17:42:34.860000
12830;nan;nan;4854;2016-04-19 17:42:34.985000
12866;nan;3469;nan;2016-04-19 17:42:35.110000
nan;nan;3616;3862;2016-04-19 17:42:35.220000
nan;nan;3513;3602;2016-04-19 17:42:35.345000
nan;nan;3428;3592;2016-04-19 17:42:35.470000
nan;nan;3395;nan;2016-04-19 17:42:35.595000
nan;nan;3360;3746;2016-04-19 17:42:35.720000
nan;nan;3321;3725;2016-04-19 17:42:35.829000
12732;nan;3371;3674;2016-04-19 17:42:35.939000
12705;nan;3396;3968;2016-04-19 17:42:36.064000
12697;nan;3349;3908;2016-04-19 17:42:36.189000
nan;nan;3401;3889;2016-04-19 17:42:36.314000
nan;nan;3326;3876;2016-04-19 17:42:36.439000
nan;nan;3422;3765;2016-04-19 17:42:36.548000
nan;nan;3783;3642;2016-04-19 17:42:36.657000
nan;nan;nan;3639;2016-04-19 17:42:36.798000
nan;nan;3299;4208;2016-04-19 17:42:36.923000
nan;nan;3290;3746;2016-04-19 17:42:37.048000
12624;nan;3273;3739;2016-04-19 17:42:37.173000
nan;nan;3239;3720;2016-04-19 17:42:37.282000
12564;nan;3615;3787;2016-04-19 17:42:37.407000
12505;nan;3408;nan;2016-04-19 17:42:37.532000
nan;nan;3275;3739;2016-04-19 17:42:37.657000
nan;nan;3714;3720;2016-04-19 17:42:37.767000
nan;nan;3532;3747;2016-04-19 17:42:37.876000
nan;nan;3610;3813;2016-04-19 17:42:37.985000
nan;nan;3716;3801;2016-04-19 17:42:38.110000
nan;nan;3650;3752;2016-04-19 17:42:38.236000
12426;nan;3065;3805;2016-04-19 17:42:38.360000
12406;nan;3633;3801;2016-04-19 17:42:38.485000
nan;nan;3467;3776;2016-04-19 17:42:38.595000
12355;nan;nan;3834;2016-04-19 17:42:38.704000
12358;nan;3526;3863;2016-04-19 17:42:38.845000
12290;nan;3260;3913;2016-04-19 17:42:38.970000
12305;nan;3467;3850;2016-04-19 17:42:39.095000
12221;nan;4038;3849;2016-04-19 17:42:39.220000
12246;7304;3469;3970;2016-04-19 17:42:39.329000
12189;nan;3088;nan;2016-04-19 17:42:39.454000
12209;7329;2960;3952;2016-04-19 17:42:39.579000
12150;7310;3070;nan;2016-04-19 17:42:39.704000
12166;7318;2924;3956;2016-04-19 17:42:39.829000
12136;nan;2916;3998;2016-04-19 17:42:39.939000
nan;nan;3029;4012;2016-04-19 17:42:40.048000
nan;nan;nan;4005;2016-04-19 17:42:40.173000
nan;nan;2952;3990;2016-04-19 17:42:40.298000
nan;nan;3296;3962;2016-04-19 17:42:40.423000
nan;nan;3071;4044;2016-04-19 17:42:40.532000
nan;nan;3203;3993;2016-04-19 17:42:40.642000
nan;nan;3400;4012;2016-04-19 17:42:40.751000
nan;nan;3158;4045;2016-04-19 17:42:40.892000
nan;nan;2961;4057;2016-04-19 17:42:41.017000
nan;nan;2980;4080;2016-04-19 17:42:41.126000
nan;nan;3039;4099;2016-04-19 17:42:41.251000
nan;nan;3147;4124;2016-04-19 17:42:41.361000
nan;nan;3158;4124;2016-04-19 17:42:41.485000
nan;nan;3038;4190;2016-04-19 17:42:41.611000
nan;nan;2838;4122;2016-04-19 17:42:41.736000
11887;nan;2946;4153;2016-04-19 17:42:41.861000
11861;nan;2929;4161;2016-04-19 17:42:41.986000
nan;nan;2932;4109;2016-04-19 17:42:42.095000
nan;nan;2998;4131;2016-04-19 17:42:42.220000
11828;nan;3090;4174;2016-04-19 17:42:42.345000
11778;nan;3036;4255;2016-04-19 17:42:42.470000
nan;nan;3008;4273;2016-04-19 17:42:42.595000
11720;nan;4466;4323;2016-04-19 17:42:42.704000
11696;nan;nan;4295;2016-04-19 17:42:42.814000
11645;nan;2860;4309;2016-04-19 17:42:42.954000
