0;2500;5000;7500;10000;12500;15000;17500;20000;22500;
2032;3340;6035;8706;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:08.283000
nan;3430;6076;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:08.507000
nan;3426;6077;8727;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:08.683000
1988;3442;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:08.923000
1894;3472;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:09.147000
1910;3434;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:09.371000
1959;3417;nan;8761;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:09.546000
1990;3499;nan;8730;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:09.786000
2042;3518;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:10.010000
nan;3479;nan;8698;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:10.250000
2068;3482;nan;8803;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:10.474000
2114;3466;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:10.698000
2059;3474;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:10.874000
2125;3456;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:11.098000
2168;3464;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:11.273000
2091;3478;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:11.497000
2153;3514;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:11.721000
2131;3514;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:11.945000
2139;3464;nan;9003;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:12.185000
2275;3460;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:12.425000
2179;3473;6132;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:12.649000
2234;3477;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:12.889000
2174;3461;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:13.112000
2166;3449;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:13.336000
2193;nan;nan;8816;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:13.576000
2214;3453;nan;8754;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:13.800000
2241;3442;nan;8700;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:13.976000
2321;3446;5959;8648;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:14.216000
2272;3399;5933;8569;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:14.440000
2312;3354;5894;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:14.664000
2262;3356;5911;8553;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:14.904000
2266;3286;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:15.127000
nan;3340;5861;8540;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:15.303000
2303;3339;5851;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:15.543000
nan;3317;nan;8448;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:15.767000
2413;3241;5809;8389;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:15.959000
2280;3294;5830;8357;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:16.183000
2404;3318;5759;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:16.406000
2357;3258;5699;8325;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:16.582000
nan;3206;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:16.806000
nan;3188;5706;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:16.982000
nan;3244;5672;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:17.206000
nan;3130;5619;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:17.430000
nan;3139;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:17.654000
2539;3134;5622;8279;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:17.829000
2550;3140;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:18.069000
nan;3113;5558;8234;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:18.309000
2685;3130;5545;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:18.533000
2399;3117;5503;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:18.773000
nan;3113;5446;8311;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:18.998000
nan;3084;5457;8267;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:19.174000
nan;2992;5430;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:19.413000
nan;2980;nan;8234;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:19.637000
nan;3037;nan;8257;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:19.813000
nan;2988;5394;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:20.053000
