0;5000;10000;15000;20000;25000;30000;35000;40000;45000;
2050;nan;10481;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:32.997000
2070;nan;10467;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:33.221000
2088;nan;10461;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:33.460000
2068;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:33.684000
2093;nan;10442;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:33.908000
2076;nan;10414;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:34.084000
2110;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:34.308000
2100;nan;10412;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:34.548000
2145;nan;10371;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:34.771000
2127;nan;10361;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:35.012000
2195;5503;10300;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:35.235000
2170;5427;10251;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:35.475000
2155;5389;10203;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:35.699000
2208;nan;10209;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:35.923000
2184;5306;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:36.099000
2241;5280;10148;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:36.323000
2202;5265;10139;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:36.498000
2244;5246;10118;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:36.738000
2261;5312;10078;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:36.962000
2988;nan;10036;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:37.186000
2669;5319;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:37.362000
2343;nan;10020;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:37.586000
2564;5178;10016;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:37.761000
3438;nan;10021;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:37.986000
2741;5085;10009;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:38.161000
nan;5104;10000;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:38.385000
nan;5156;9972;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:38.561000
3623;5108;9963;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:38.801000
nan;5040;10016;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:39.025000
nan;5047;9895;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:39.265000
3497;4995;9903;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:39.488000
2444;4931;9916;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:39.728000
2382;4977;9802;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:39.952000
2390;5005;9812;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:40.192000
2365;4935;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:40.416000
2427;4914;9802;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:40.656000
2370;4864;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:40.880000
2399;4885;9776;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:41.056000
2473;4828;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:41.296000
